id,strava_activity_id,activity_name,is_parkrun,event_name,distance_km,pace_min_per_km,elevation_gain,day_of_week,hour,month,contains_parkrun,contains_marathon,contains_half,contains_ultra,contains_fun_run,name_length,is_5k,is_10k,is_half_marathon,is_marathon,is_ultra,coord_count,day_of_week,day_0.0,day_1.0,day_2.0,day_3.0,day_4.0,day_5.0,day_6.0,hour_6.0,hour_7.0,hour_8.0,hour_9.0,hour_10.0,hour_other
818.0,11442745454.0,Sydney 10,False,Sydney 10,10.0917,4.274139474353511,33.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
3114.0,11442640731.0,Sydney 10,False,Sydney 10,10.0597,3.933185548939498,25.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
2253.0,11333573151.0,Sydney Hoka Half Marathon,False,Hoka Sydney Half marathon,21.4171,4.610801649149511,177.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
654.0,11333590045.0,Runaway HOKA Half Marathon - 1:50:26,False,Hoka Sydney Half marathon,20.9972,5.243556283694969,167.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
3115.0,11227198938.0,SMC half marathon,False,,20.958,4.289531443840062,60.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
820.0,11171412523.0,Sydney Backyard Ultra,False,Sydney Backyard Ultra,81.08630000000001,7.027492108202413,649.0,5.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,0,0,0,0,1,0,5.0,False,False,False,False,False,True,False,False,False,True,False,False,False
655.0,10926537842.0,Orange Marathon - 4:10:36,False,Orange Marathon,42.3249,5.882667964563019,436.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0,1,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
3116.0,10838948864.0,MNT Magic Mile,False,,1.6727,3.3179888802534823,7.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0,0,0,0,0,0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True
3117.0,10782765959.0,SMC 10k,False,,9.9418,4.010004895156478,29.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
656.0,10783158759.0,SMC - 30km,False,SMC 30k,30.0315,6.17518272480562,105.0,6.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,17.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,True,False,False,False,False,False
657.0,10682999208.0,Sun Run - Dee Why to Manly - 49:22,False,Sun Run,10.0521,4.909421911839317,94.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,0,1,0,0,0,0,5.0,False,False,False,False,False,True,False,True,False,False,False,False,False
3118.0,10597178937.0,SMC 10k,False,,9.9345,4.1186437834482525,31.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
4390.0,10464661675.0,São Silvestre de Lisboa 2023,False,São Silvestre de Lisboa,10.1412,4.703585374511892,65.0,5.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,25.0,0,1,0,0,0,0,5.0,False,False,False,False,False,True,False,False,False,False,False,False,True
660.0,10355416995.0,Port Stephens Half Marathon - 1:58:09,False,,20.8225,5.630928082602953,138.0,6.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
839.0,10242303188.0,Kids run with Hazel,False,,2.6256999999999997,7.318683271762451,23.1,6.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,False,True,False,False
840.0,10236851827.0,Stromlo 50,False,,50.2332,6.4462679396627465,1050.4,5.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,21.0,0,0,0,0,1,0,5.0,False,False,False,False,False,True,False,True,False,False,False,False,False
2518.0,10116278531.0,"Bondi to Manly, finish",False,,0.1928,3.8900414937759336,2.0,5.0,14.0,10.0,0.0,1.0,1.0,0.0,0.0,21.0,0,0,0,0,0,0,5.0,False,False,False,False,False,True,False,False,False,False,False,False,True
2519.0,10115153804.0,"Leg 1 Bondi to Manly, Wounded Woodies🤠",False,,18.6137,5.527290830588939,427.0,5.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0,0,0,0,5.0,False,False,False,False,False,True,False,True,False,False,False,False,False
3119.0,10080389887.0,Panorama Punish,False,,6.1468,4.568772911650506,185.0,6.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,0,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
666.0,10039661547.0,Melbourne Half Marathon - 1:49:54,False,,21.2292,5.177616992946821,83.0,6.0,8.0,10.0,0.0,1.0,0.0,0.0,0.0,16.0,0,0,1,0,0,0,6.0,False,False,False,False,False,False,True,False,False,True,False,False,False
4391.0,10039340159.0,BBBrun 2023,False,BBB,10.064,4.918521462639109,36.0,6.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
3120.0,10039317529.0,BBBRun,False,,9.963,4.095152062631738,35.0,6.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,25.0,0,1,0,0,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
3121.0,9960383293.0,Woodies Magic Mile,False,,1.6534,3.598645215918713,8.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True
842.0,9945919872.0,Camel to Club Bermagui,False,,6.8011,4.710022398337523,47.8,5.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,0,0,0,0,5.0,False,False,False,False,False,True,False,False,False,False,True,False,False
2521.0,9864079664.0,Sydney Marathon-1st one so a PB 🤠,False,,42.4512,5.239741946831499,297.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,23.0,0,0,0,1,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
670.0,9864061514.0,Sydney Marathon - 4:27:55,False,,42.3574,6.238972804437163,337.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,1,0,0,6.0,False,False,False,False,False,False,True,False,True,False,False,False,False
