id,strava_activity_id,activity_name,distance,elapsed_time,moving_time,date,elevation_gain,average_heartrate,max_heartrate,final_time,final_distance,event_name,has_polyline,polyline_length,source,year,month,day_of_week,hour,pace_min_per_km,distance_km,time_minutes,is_parkrun,distance_category
2514,12115591298,City2surf,14006.8,3962,3962,2024-08-11 07:37:33+00:00,198.0,179.0,199.0,3962,14006.8,City2Surf,1,1072.0,oauth,2024,8,6,7,4.714376826493798,14.0068,66.03333333333333,False,10-15km
4389,12115029486,City2Surf 2024,14056.9,4051,4051,2024-08-11 07:36:13+00:00,199.0,161.9,175.0,4051,14056.9,City2Surf,1,1113.0,oauth,2024,8,6,7,4.803097885498699,14.056899999999999,67.51666666666667,False,10-15km
804,12115090860,City2Surf 2024,13901.2,3797,3794,2024-08-11 07:35:54+00:00,191.0,166.6,178.0,3794,13901.2,City2Surf,1,1071.0,oauth,2024,8,6,7,4.548767972069557,13.901200000000001,63.233333333333334,False,10-15km
3113,11939031724,Sutherland 2 Surf,11098.9,2727,2727,2024-07-21 07:30:32+00:00,77.0,174.6,184.0,2727,11098.9,Sutherland 2 Surf,1,613.0,oauth,2024,7,6,7,4.095000405445584,11.0989,45.45,False,10-15km
2515,11874199318,Raffertys 12km + more,12778.5,4236,4231,2024-07-13 10:00:57+00:00,296.0,175.9,193.0,4231,12778.5,Raffertys Coastal,1,1052.0,oauth,2024,7,5,10,5.51838374352754,12.7785,70.51666666666667,False,10-15km
812,11825721235,Sri Chinmoy Dolls Point HM,21184.9,6227,6217,2024-07-07 08:02:59+00:00,93.0,172.9,185.0,6217,21184.9,Sri Chinmoy Dolls Point Half marathon,1,1104.0,oauth,2024,7,6,8,4.891062344720374,21.184900000000003,103.61666666666666,False,21-42km
4172,11825914323,GC Double Part 2: Marathon 🥳,42802.6,15923,15923,2024-07-07 06:26:51+00:00,86.6,153.5,174.0,15923,42802.6,Gold Coast Marathon,1,1194.0,oauth,2024,7,6,6,6.200168525588009,42.8026,265.3833333333333,False,>42km
653,11442709101,Sydney 10 - 45:41,9926.2,2742,2742,2024-05-19 07:45:19+00:00,91.0,156.3,166.0,2742,9926.2,Sydney 10,1,872.0,oauth,2024,5,6,7,4.603977352864137,9.926200000000001,45.7,False,5-10km
818,11442745454,Sydney 10,10091.7,2593,2588,2024-05-19 07:45:17+00:00,33.0,164.0,177.0,2588,10091.7,Sydney 10,1,792.0,oauth,2024,5,6,7,4.274139474353511,10.091700000000001,43.13333333333333,False,10-15km
3114,11442640731,Sydney 10,10059.7,2374,2374,2024-05-19 07:45:12+00:00,25.0,169.8,186.0,2374,10059.7,Sydney 10,1,798.0,oauth,2024,5,6,7,3.933185548939498,10.059700000000001,39.56666666666667,False,10-15km
2253,11333573151,Sydney Hoka Half Marathon,21417.1,5968,5925,2024-05-05 07:00:00+00:00,177.0,167.9,190.0,5925,21417.1,Hoka Sydney Half marathon,1,1105.0,oauth,2024,5,6,7,4.610801649149511,21.417099999999998,98.75,False,21-42km
654,11333590045,Runaway HOKA Half Marathon - 1:50:26,20997.2,6629,6606,2024-05-05 06:52:19+00:00,167.0,150.6,172.0,6606,20997.2,Hoka Sydney Half marathon,1,1133.0,oauth,2024,5,6,6,5.243556283694969,20.9972,110.1,False,15-21km
3115,11227198938,SMC half marathon,20958.0,5394,5394,2024-04-21 07:00:02+00:00,60.0,176.3,191.0,5394,20958.0,,1,1140.0,oauth,2024,4,6,7,4.289531443840062,20.958,89.9,False,15-21km
820,11171412523,Sydney Backyard Ultra,81086.3,42799,34190,2024-04-13 08:00:10+00:00,649.0,135.9,160.0,34190,81086.3,Sydney Backyard Ultra,1,1341.0,oauth,2024,4,5,8,7.027492108202413,81.08630000000001,569.8333333333334,False,>42km
655,10926537842,Orange Marathon - 4:10:36,42324.9,15038,14939,2024-03-10 07:00:17+00:00,436.0,147.7,170.0,14939,42324.9,Orange Marathon,1,1247.0,oauth,2024,3,6,7,5.882667964563019,42.3249,248.98333333333332,False,>42km
